Subject,Sentiment
Computer_&_Information_Sciences,0.17806818181818182
Economics,0.24
Education,0.09166666666666666
Engineering,0.19515151515151516
Foreign_Languages_&_Literatures,0.19520833333333334
Psychology,0.17133333333333334
