Subject,Female,Male
Computer_&_Information_Sciences,0.22749999999999998,0.12863636363636363
Economics,0.2625,0.21749999999999997
Education,0.13,0.05333333333333333
Engineering,0.2603030303030303,0.13
Foreign_Languages_&_Literatures,0.18833333333333332,0.20208333333333334
Psychology,0.23500000000000001,0.10766666666666666
